競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数
奈良競輪,6R,10:14,最終日,ガ,"=""1-7""","=""1-7-5""",2,"=""5-2-6""",7,0.43,0.29,0.1,0.07,0.83,59.43,7
静岡競輪,2R,11:31,2日目,チ,"=""1-2""","=""1-2-3""",5,"=""2-3-1""",6,0.27,0.21,0.07,0.02,0.93,52.3,6
前橋競輪,11R,14:28,最終日,Ａ,"=""5-2""","=""5-2-1""",7,"=""1-4-7""",2,0.5,0.19,0.12,0.08,0.84,63.2,7
静岡競輪,10R,15:44,2日目,Ａ,"=""1-2""","=""1-2-4""",3,"=""4-2-5""",1,0.43,0.32,0.13,0.04,0.9,60.83,7
京王閣競輪,1R,20:40,最終日,チ,"=""1-2""","=""1-2-3""",4,"=""5-3-4""",1,0.38,0.36,0.08,0.02,0.94,59.26,7
佐世保競輪,2R,21:10,最終日,チ,"=""1-3""","=""1-3-2""",6,"=""4-2-3""",5,0.39,0.22,0.14,0.06,0.84,57.45,7
京王閣競輪,4R,21:40,最終日,Ａ,"=""1-5""","=""1-5-4""",7,"=""5-2-3""",4,0.31,0.22,0.08,0.05,0.85,53.5,7
佐世保競輪,4R,21:50,最終日,Ａ,"=""1-6""","=""1-6-3""",2,"=""3-2-6""",5,0.46,0.24,0.1,0.08,0.83,61.44,7
佐世保競輪,5R,22:10,最終日,Ａ,"=""1-4""","=""1-4-2""",6,"=""4-2-3""",1,0.42,0.19,0.12,0.04,0.91,61.0,7
京王閣競輪,8R,23:00,最終日,チ,"=""4-1""","=""4-1-2""",6,"=""1-2-6""",3,0.48,0.19,0.09,0.04,0.92,65.8,7
