競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,運用判定,選手数
広島競輪,1R,08:30,最終日,チ,"=""4-2""","=""4-2-3""","=""7-5-1-6""","=""3-4-2""","=""5-1-7-6""",0.97,0.97,0.97,0.97,0.95,0.95,0.94,,,0.0,48.81,A-B-D-E,7
大宮競輪,1R,08:40,2日目,チ,"=""7-4""","=""7-4-5""","=""1-2-3-6""","=""4-1-7""","=""5-3-2-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.93,,,0.0,48.87,A-B-D-E,7
広島競輪,2R,08:50,最終日,チ,"=""7-4""","=""7-4-5""","=""3-1-6-2""","=""3-4-1""","=""6-7-5-2""",0.97,0.97,0.97,0.96,0.96,0.94,0.93,,,0.01,48.87,A-B-D-E,7
大宮競輪,2R,09:00,2日目,チ,"=""1-3""","=""1-3-7""","=""5-2-4-6""","=""1-3-7""","=""5-4-2-6""",0.97,0.97,0.97,0.96,0.96,0.96,0.91,,,0.01,49.07,A-B-D-E,7
広島競輪,3R,09:10,最終日,チ,"=""4-5""","=""4-5-3""","=""1-2-6-7""","=""4-5-1""","=""2-3-6-7""",0.97,0.97,0.97,0.97,0.97,0.94,0.93,,,0.0,48.84,A-B-D-E,7
大宮競輪,3R,09:20,2日目,チ,"=""7-3""","=""7-3-2""","=""1-5-4-6""","=""3-7-2""","=""5-1-4-6""",0.97,0.97,0.97,0.95,0.95,0.94,0.91,,,0.02,49.32,A-B-D-E,7
広島競輪,4R,09:30,最終日,チ,"=""1-2""","=""1-2-5""","=""4-7-3-6""","=""1-2-5""","=""7-3-6-4""",0.97,0.97,0.97,0.97,0.96,0.95,0.92,,,0.0,48.86,A-B-D-E,7
大宮競輪,4R,09:40,2日目,チ,"=""2-1""","=""2-1-5""","=""7-4-3-6""","=""1-5-2""","=""7-6-4-3""",0.97,0.97,0.97,0.97,0.97,0.95,0.9,,,0.0,48.96,A-B-D-E,7
広島競輪,5R,09:50,最終日,チ,"=""2-3""","=""2-3-5""","=""7-4-1-6""","=""7-2-3""","=""4-5-1-6""",0.97,0.97,0.97,0.96,0.96,0.96,0.94,,,0.01,48.86,A-B-D-E,7
大宮競輪,5R,10:00,2日目,チ,"=""3-4""","=""3-4-2""","=""5-1-7-6""","=""4-3-1""","=""5-2-6-7""",0.97,0.97,0.97,0.96,0.96,0.94,0.94,,,0.01,49.0,A-B-D-E,7
広島競輪,6R,10:10,最終日,チ,"=""7-5""","=""7-5-4""","=""2-1-3-6""","=""5-4-7""","=""2-1-6-3""",0.97,0.97,0.97,0.97,0.97,0.95,0.94,,,0.0,48.82,A-B-D-E,7
大宮競輪,6R,10:20,2日目,チ,"=""4-7""","=""4-7-2""","=""3-1-5-6""","=""3-4-7""","=""2-5-1-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.89,,,0.0,48.99,A-B-D-E,7
広島競輪,7R,10:30,最終日,チ,"=""4-2""","=""4-2-3""","=""1-7-5-6""","=""4-3-2""","=""7-5-1-6""",0.97,0.97,0.97,0.97,0.96,0.94,0.92,,,0.0,48.9,A-B-D-E,7
大宮競輪,7R,10:40,2日目,チ,"=""2-3""","=""2-3-5""","=""7-4-1-6""","=""2-7-3""","=""5-6-4-1""",0.97,0.97,0.97,0.96,0.96,0.95,0.9,,,0.01,49.08,A-B-D-E,7
立川競輪,1R,10:45,初日,Ａ,"=""5-2""","=""5-2-4""","=""3-1-7-6""","=""5-2-3""","=""4-1-7-6""",0.97,0.97,0.97,0.97,0.96,0.96,0.93,,,0.0,48.84,見送り,7
大垣競輪,1R,10:58,初日,チ,"=""2-3""","=""2-3-4""","=""1-6-5""","=""2-1-3""","=""6-4-5""",0.97,0.97,0.97,0.96,0.96,0.93,,,,0.01,48.83,A-B-D-E,6
立川競輪,2R,11:12,初日,Ａ,"=""3-5""","=""3-5-4""","=""2-1-7-6""","=""3-5-2""","=""4-7-1-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.85,,,0.0,49.14,見送り,7
大垣競輪,2R,11:26,初日,チ,"=""4-1""","=""4-1-7""","=""2-5-6-3""","=""1-7-4""","=""2-5-3-6""",0.97,0.97,0.97,0.97,0.96,0.94,0.94,,,0.0,48.86,A-B-D-E,7
立川競輪,3R,11:40,初日,Ａ,"=""7-2""","=""7-2-1""","=""5-4-3-6""","=""2-7-3""","=""1-5-4-6""",0.97,0.97,0.97,0.96,0.96,0.96,0.94,,,0.0,48.76,見送り,7
大垣競輪,3R,11:54,初日,チ,"=""2-7""","=""2-7-5""","=""1-3-4-6""","=""2-7-1""","=""3-4-5-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.93,,,0.0,48.8,A-B-D-E,7
立川競輪,4R,12:08,初日,Ａ,"=""5-2""","=""5-2-7""","=""3-4-1-6""","=""7-2-5""","=""3-4-1-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.93,,,0.0,48.78,見送り,7
大垣競輪,4R,12:22,初日,チ,"=""5-1""","=""5-1-3""","=""2-7-4-6""","=""5-1-3""","=""2-7-4-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.91,,,0.0,48.95,A-B-D-E,7
立川競輪,5R,12:36,初日,Ａ,"=""5-7""","=""5-7-3""","=""1-4-2-6""","=""7-5-3""","=""2-4-6-1""",0.97,0.97,0.97,0.96,0.96,0.96,0.93,,,0.01,48.88,見送り,7
大垣競輪,5R,12:50,初日,ガ,"=""1-5""","=""1-5-7""","=""6-3-2-4""","=""7-1-5""","=""6-3-2-4""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.77,見送り,7
立川競輪,6R,13:04,初日,Ｓ,"=""5-1""","=""5-1-2""","=""7-4-3-6""","=""2-1-5""","=""7-4-3-6""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.74,A-B-D-E,7
大垣競輪,6R,13:18,初日,ガ,"=""2-7""","=""2-7-6""","=""4-1-5-3""","=""6-2-7""","=""4-1-5-3""",0.97,0.97,0.97,0.97,0.96,0.95,0.94,,,0.0,48.75,見送り,7
